Threshold,Array Size,Algorithm,Time (ms),Comparisons,IsSorted
65,50000,HybridMergeSort,6,1142625,true
65,100000,MergeSort,18,1536324,true
65,100000,HybridMergeSort,11,2380815,true
65,500000,MergeSort,97,8837144,true
65,500000,HybridMergeSort,82,14458274,true
65,1000000,MergeSort,208,18674778,true
65,1000000,HybridMergeSort,161,29905434,true
65,1500000,MergeSort,300,28910265,true
65,1500000,HybridMergeSort,250,40598522,true
65,2000000,MergeSort,420,39348394,true
65,2000000,HybridMergeSort,355,61793799,true
65,2500000,MergeSort,545,50025899,true
65,2500000,HybridMergeSort,418,65308389,true
65,5000000,MergeSort,1249,105049307,true
65,5000000,HybridMergeSort,952,135621360,true
65,7500000,MergeSort,2048,161906915,true
65,7500000,HybridMergeSort,1631,239575714,true
65,10000000,MergeSort,2735,220100656,true
65,10000000,HybridMergeSort,1980,281258853,true
70,1000,MergeSort,1,8697,true
70,1000,HybridMergeSort,0,20290,true
70,2000,MergeSort,0,19392,true
70,2000,HybridMergeSort,1,42026,true
70,3000,MergeSort,1,30938,true
70,3000,HybridMergeSort,0,55880,true
70,4000,MergeSort,0,42828,true
70,4000,HybridMergeSort,1,89320,true
70,5000,MergeSort,0,55278,true
70,5000,HybridMergeSort,1,86690,true
70,10000,MergeSort,2,120459,true
70,10000,HybridMergeSort,1,182287,true
70,20000,MergeSort,3,260915,true
70,20000,HybridMergeSort,3,386275,true
70,30000,MergeSort,5,408529,true
70,30000,HybridMergeSort,3,729774,true
70,40000,MergeSort,6,561738,true
70,40000,HybridMergeSort,4,814186,true
70,50000,MergeSort,8,718205,true
70,50000,HybridMergeSort,5,1141136,true
70,100000,MergeSort,16,1536131,true
70,100000,HybridMergeSort,11,2384990,true
70,500000,MergeSort,105,8837301,true
70,500000,HybridMergeSort,102,14449369,true
70,1000000,MergeSort,239,18674634,true
70,1000000,HybridMergeSort,168,29897612,true
70,1500000,MergeSort,461,28910933,true
