Vertices,Edges,Time Array (Method 1),Time Array (Method 2),Density,Matrix Memory (bytes),List Memory (bytes)
847,846,52425,2236,0.002361,2869636,10152
260,259,570,90,0.007692,270400,3108
588,587,1145,135,0.003401,1382976,7044
939,938,2920,253,0.002130,3526884,11256
942,941,28623,1230,0.002123,3549456,11292
877,876,1834,222,0.002281,3076516,10512
440,439,3574,299,0.004545,774400,5268
917,916,1710,189,0.002181,3363556,10992
800,799,18248,881,0.002500,2560000,9588
975,974,1435,159,0.002051,3802500,11688
504,503,959,122,0.003968,1016064,6036
650,649,975,151,0.003077,1690000,7788
932,931,5381,392,0.002146,3474496,11172
532,531,42416,2534,0.003759,1132096,6372
857,856,1412,159,0.002334,2937796,10272
390,389,670,92,0.005128,608400,4668
711,710,1155,134,0.002813,2022084,8520
611,610,1000,111,0.003273,1493284,7320
606,605,2372,225,0.003300,1468944,7260
663,662,6004,404,0.003017,1758276,7944
63,62,226,81,0.031746,15876,744
736,735,2254,233,0.002717,2166784,8820
676,675,134753,7535,0.002959,1827904,8100
918,917,1865,226,0.002179,3370896,11004
734,733,4394,327,0.002725,2155024,8796
846,845,29242,1294,0.002364,2862864,10140
424,423,1127,145,0.004717,719104,5076
164,163,8553,1446,0.012195,107584,1956
208,207,803,117,0.009615,173056,2484
522,521,5825,413,0.003831,1089936,6252
425,424,4727,365,0.004706,722500,5088
456,455,2234,237,0.004386,831744,5460
998,997,63482,2564,0.002004,3984016,11964
954,953,1728,190,0.002096,3640464,11436
694,693,2023,219,0.002882,1926544,8316
52,51,859,346,0.038462,10816,612
73,72,156,55,0.027397,21316,864
647,646,7585,488,0.003091,1674436,7752
233,232,466,81,0.008584,217156,2784
231,230,4921,571,0.008658,213444,2760
216,215,440,86,0.009259,186624,2580
82,81,286,85,0.024390,26896,972
581,580,1143,152,0.003442,1350244,6960
162,161,321,74,0.012346,104976,1932
52,51,126,53,0.038462,10816,612
604,603,91286,5405,0.003311,1459264,7236
116,115,275,63,0.017241,53824,1380
570,569,22984,1210,0.003509,1299600,6828
222,221,18092,2229,0.009009,197136,2652
463,462,43057,2913,0.004320,857476,5544
919,918,1613,178,0.002176,3378244,11016
300,299,19535,1919,0.006667,360000,3588
21,20,545,403,0.095238,1764,240
771,770,1529,160,0.002594,2377764,9240
817,816,164476,8365,0.002448,2669956,9792
895,894,24521,1113,0.002235,3204100,10728
88,87,1678,448,0.022727,30976,1044
813,812,3804,329,0.002460,2643876,9744
683,682,3184,258,0.002928,1865956,8184
747,746,1448,154,0.002677,2232036,8952
491,490,2613,242,0.004073,964324,5880
860,859,29263,1258,0.002326,2958400,10308
698,697,4010,324,0.002865,1948816,8364
450,449,856,117,0.004444,810000,5388
400,399,743,105,0.005000,640000,4788
193,192,6056,839,0.010363,148996,2304
660,659,128222,7747,0.003030,1742400,7908
798,797,5586,395,0.002506,2547216,9564
38,37,379,181,0.052632,5776,444
790,789,117445,6166,0.002532,2496400,9468
635,634,1278,158,0.003150,1612900,7608
337,336,25220,2055,0.005935,454276,4032
622,621,2456,223,0.003215,1547536,7452
2,1,39,54,1.000000,16,12
592,591,922,112,0.003378,1401856,7092
577,576,27708,1511,0.003466,1331716,6912
588,587,3617,270,0.003401,1382976,7044
751,750,1554,181,0.002663,2256004,9000
338,337,1238,146,0.005917,456976,4044
105,104,528,124,0.019048,44100,1248
204,203,438,84,0.009804,166464,2436
228,227,786,114,0.008772,207936,2724
201,200,726,120,0.009950,161604,2400
718,717,16249,861,0.002786,2062096,8604
945,944,5748,446,0.002116,3572100,11328
282,281,2206,262,0.007092,318096,3372
618,617,1344,162,0.003236,1527696,7404
360,359,763,127,0.005556,518400,4308
516,515,1711,154,0.003876,1065024,6180
370,369,2068,225,0.005405,547600,4428
68,67,876,322,0.029412,18496,804
1000,999,8454,571,0.002000,4000000,11988
597,596,71892,3932,0.003350,1425636,7152
802,801,26920,1115,0.002494,2572816,9612
904,903,25012,1124,0.002212,3268864,10836
95,94,592,142,0.021053,36100,1128
244,243,8607,840,0.008197,238144,2916
292,291,624,95,0.006849,341056,3492
39,38,389,205,0.051282,6084,456
728,727,146662,7915,0.002747,2119936,8724
549,548,23002,1324,0.003643,1205604,6576
148,147,1778,270,0.013514,87616,1764
515,514,2528,189,0.003883,1060900,6168
76,75,2933,1022,0.026316,23104,900
142,141,341,81,0.014085,80656,1692
642,641,8711,539,0.003115,1648656,7692
403,402,3205,291,0.004963,649636,4824
603,602,1254,139,0.003317,1454436,7224
182,181,701,115,0.010989,132496,2172
787,786,1613,164,0.002541,2477476,9432
