Vertices,Edges,Time Array (Method 1),Time Array (Method 2),Density,Matrix Memory (bytes),List Memory (bytes)
439,75609,1046593,1140146,0.786439,770884,907308
309,85149,400346,1201868,1.789371,381924,1021788
628,181053,2127844,4527342,0.919620,1577536,2172636
669,393545,1686803,5701802,1.761253,1790244,4722540
144,19468,73691,384672,1.890831,82944,233616
172,8047,156412,178490,0.547192,118336,96564
820,577226,2608194,9066197,1.719009,2689600,6926712
888,677395,3062375,7699094,1.720028,3154176,8128740
35,216,2083,3528,0.363025,4900,2592
158,16660,141581,245690,1.343223,99856,199920
408,56658,854454,1032366,0.682396,665856,679896
762,118950,2606853,1988216,0.410256,2322576,1427400
342,26009,547328,441751,0.446039,467856,312108
911,416529,4417216,6296144,1.004883,3319684,4998348
691,210688,2860387,4469785,0.883777,1909924,2528256
557,214757,1735845,3050203,1.386907,1240996,2577084
92,2986,48003,67630,0.713330,33856,35832
832,324239,4596794,5590439,0.937931,2768896,3890868
257,17232,329900,425983,0.523833,264196,206784
250,44157,347945,584491,1.418699,250000,529884
584,120200,1763655,2134176,0.706079,1364224,1442400
793,238273,3443665,3430117,0.758764,2515396,2859276
607,133313,1929386,2308652,0.724838,1473796,1599756
469,181767,987492,2147426,1.656252,879844,2181204
879,329481,4014494,11010122,0.853841,3090564,3953772
624,56874,1602280,1068013,0.292598,1557504,682488
468,172432,1004967,2994777,1.577921,876096,2069184
77,1795,23599,38117,0.613465,23716,21540
238,42536,288600,584463,1.508208,226576,510432
273,10379,338030,289432,0.279546,298116,124548
597,183607,1942428,2184388,1.032045,1425636,2203284
489,228169,743077,3269563,1.912308,956484,2738028
813,647103,1640269,10418533,1.960455,2643876,7765236
685,360993,2281698,7275453,1.540927,1876900,4331916
532,134028,1555727,1822584,0.948898,1132096,1608336
612,323593,1510846,6842442,1.730759,1498176,3883116
690,160898,2446367,2120758,0.676881,1904400,1930776
164,13156,152018,242694,0.984288,107584,157872
480,130790,1296227,2724558,1.137700,921600,1569480
650,38075,1530967,812464,0.180514,1690000,456900
700,450065,1926562,19224479,1.839628,1960000,5400780
567,53293,1469172,1165999,0.332124,1285956,639516
47,1073,3580,12129,0.992599,8836,12876
346,60308,673426,1338017,1.010438,478864,723696
509,257275,656651,2991278,1.989968,1036324,3087300
292,66315,431915,1010389,1.560867,341056,795780
116,7905,82228,138840,1.185157,53824,94860
190,12200,217616,326547,0.679476,144400,146400
896,587109,4043941,11895342,1.464258,3211264,7045308
99,6841,49169,134137,1.410225,39204,82092
670,48357,1785755,865199,0.215769,1795600,580284
29,593,1784,7458,1.460591,3364,7116
560,122482,1692930,1819911,0.782533,1254400,1469784
75,2360,24254,38955,0.850450,22500,28320
1001,465178,5611608,6600777,0.929427,4008004,5582136
668,335433,2120826,4466056,1.505683,1784896,4025196
157,15259,149463,362852,1.246040,98596,183108
488,149204,1253937,2717120,1.255630,952576,1790448
182,9556,181831,163635,0.580171,132496,114672
427,21444,742685,408578,0.235775,729316,257328
65,2516,12804,35971,1.209615,16900,30192
949,381603,4907390,11075382,0.848335,3602404,4579236
485,122138,1369539,1598391,1.040624,940900,1465656
597,141777,1954150,2391537,0.796921,1425636,1701324
551,107228,1616696,1416134,0.707659,1214404,1286736
77,325,10739,5947,0.111073,23716,3900
658,162253,2228413,3748094,0.750640,1731856,1947036
579,138388,1827219,2689390,0.827031,1340964,1660656
51,25,172,89,0.019608,10404,300
362,93469,689432,1524818,1.430480,524176,1121628
647,294056,2225930,4408824,1.407094,1674436,3528672
701,12698,1517053,425157,0.051755,1965604,152376
139,1174,63041,37177,0.122406,77284,14088
217,22308,271197,460145,0.951869,188356,267696
475,69299,1143972,1004543,0.615581,902500,831588
120,7062,83626,155933,0.989076,57600,84744
197,35640,157610,530554,1.846058,155236,427680
305,76942,433974,943407,1.659664,372100,923304
847,362699,3843645,12252646,1.012331,2869636,4352388
166,9076,151442,178001,0.662724,110224,108912
755,106197,2574255,2109236,0.373099,2280100,1274364
651,83363,1908721,1440520,0.394012,1695204,1000356
606,283412,1746738,9166480,1.546038,1468944,3400944
559,118656,1666501,2380470,0.760806,1249924,1423872
122,8056,83000,167148,1.091451,59536,96672
93,69,207,58,0.016129,34596,828
489,16299,862676,410278,0.136604,956484,195588
509,52296,1164777,850040,0.404499,1036324,627552
94,6199,41564,113695,1.418211,35344,74388
785,331996,3443918,4252945,1.078890,2464900,3983952
477,6737,945094,339180,0.059343,910116,80844
706,377013,2347367,4943496,1.514930,1993744,4524156
524,104508,1650372,2814075,0.762687,1098304,1254096
108,1711,40861,36627,0.296123,46656,20532
153,17782,122778,390231,1.529240,93636,213384
852,414964,4070583,5518041,1.144646,2903616,4979568
664,172689,2504783,3084909,0.784536,1763584,2072268
761,367061,2996146,10343860,1.269317,2316484,4404732
945,132086,3867887,2224902,0.296130,3572100,1585032
786,311786,3546469,4913050,1.010635,2471184,3741432
